produto,offerId,status,preco
Kit ENEM Completo,dr8bb72,active,49.9
Pacote de Simulados e Provas ENEM,k8aisst,active,7.9
Pacote de Matematica ENEM,3epocmv,active,5.9
Pacote de Ciencias da Natureza ENEM,3duxy4c,active,5.9
Pacote de Redacao ENEM,i75psqx,active,7.9
Pacote de Questoes e Exercicios ENEM,353s4p4,active,5.9
Kit ENEM Essencial,qyxma4z,active,19.9
Leitura Tarot,wkahva8,active,19.9
Robótica com Sucata Vol5,mnuyb9d,active,24.9
Robótica com Sucata Vol4,pyr3ff6,active,24.9
Robótica com Sucata Vol3,398g8bs,active,24.9
Robótica com Sucata Vol2,34r7rxf,active,24.9
Robótica com Sucata Vol1,35anggs,active,24.9
Coleção Completa de Robótica Infantil,nytaca3,active,39.9
Celular sem medo,t5woe75,active,27.9
IA para Iniciantes: 101 Maneiras de Usar IA Para Economizar 1 Hora Por Dia,irmwj6t,active,57.9
Cão Educado,36z2u29,active,35.9
Cliente na Porta,ugxj9tc,active,47.9
Assinatura TVS 30 dias,3988nmy,active,35
Assinatura TVS 30 dias,7zzov4b,active,35
Adesão 3 pessoas,xpfno3b,active,239.9
Adesão 4 pessoas,h7ttrfv,active,268.9
Adesão 2 pessoas,scsi78r,active,169.9
Adesão individual,34v5zms,active,97.9
